frequency;V(/BPF) (phase);V(/BPF) (gain);V(/BSF) (phase);V(/BSF) (gain);V(/HPF) (phase);V(/HPF) (gain);V(/LPF) (phase);V(/LPF) (gain);
11.749;-90.0947;-38.7144;179.933;-0.000138188;179.877;-77.4298;-0.0669767;0.00102946;
12.0226;-90.0957;-38.5143;179.931;-0.000138465;179.877;-77.0297;-0.0685372;0.00108422;
12.3027;-90.0966;-38.3143;179.93;-0.000138756;179.876;-76.6296;-0.0701341;0.00114156;
12.5893;-90.0976;-38.1142;179.928;-0.000139061;179.876;-76.2296;-0.0717682;0.0012016;
12.8825;-90.0987;-37.9141;179.927;-0.000139379;179.875;-75.8295;-0.0734404;0.00126447;
13.1826;-90.0998;-37.7141;179.925;-0.000139713;179.875;-75.4295;-0.0751516;0.0013303;
13.4896;-90.101;-37.514;179.923;-0.000140063;179.874;-75.0294;-0.0769027;0.00139923;
13.8038;-90.1022;-37.3139;179.921;-0.000140429;179.874;-74.6293;-0.0786947;0.00147142;
14.1254;-90.1035;-37.1139;179.919;-0.000140812;179.873;-74.2292;-0.0805284;0.00154701;
14.4544;-90.1049;-36.9138;179.918;-0.000141214;179.872;-73.8292;-0.0824048;0.00162616;
14.7911;-90.1063;-36.7137;179.916;-0.000141634;179.871;-73.4291;-0.0843251;0.00170904;
15.1356;-90.1077;-36.5136;179.914;-0.000142074;179.87;-73.029;-0.0862901;0.00179583;
15.4882;-90.1092;-36.3135;179.912;-0.000142535;179.869;-72.6289;-0.088301;0.00188671;
15.8489;-90.1108;-36.1134;179.91;-0.000143018;179.868;-72.2288;-0.0903587;0.00198188;
16.2181;-90.1124;-35.9133;179.908;-0.000143524;179.867;-71.8287;-0.0924645;0.00208153;
16.5959;-90.1141;-35.7132;179.905;-0.000144053;179.866;-71.4286;-0.0946194;0.00218587;
16.9824;-90.1158;-35.5131;179.903;-0.000144607;179.865;-71.0285;-0.0968245;0.00229514;
17.378;-90.1177;-35.313;179.901;-0.000145188;179.863;-70.6284;-0.0990811;0.00240956;
17.7828;-90.1195;-35.1129;179.899;-0.000145796;179.862;-70.2283;-0.10139;0.00252937;
18.197;-90.1215;-34.9128;179.896;-0.000146432;179.86;-69.8281;-0.103754;0.00265483;
18.6209;-90.1235;-34.7126;179.894;-0.000147099;179.859;-69.428;-0.106172;0.00278621;
19.0546;-90.1255;-34.5125;179.891;-0.000147797;179.857;-69.0279;-0.108647;0.00292378;
19.4984;-90.1276;-34.3123;179.889;-0.000148528;179.856;-68.6277;-0.111179;0.00306783;
19.9526;-90.1298;-34.1122;179.886;-0.000149293;179.854;-68.2276;-0.113771;0.00321868;
20.4174;-90.1321;-33.912;179.884;-0.000150095;179.852;-67.8274;-0.116423;0.00337664;
20.893;-90.1344;-33.7119;179.881;-0.000150934;179.85;-67.4272;-0.119137;0.00354204;
21.3796;-90.1369;-33.5117;179.878;-0.000151814;179.848;-67.0271;-0.121914;0.00371525;
21.8776;-90.1393;-33.3115;179.875;-0.000152734;179.846;-66.6269;-0.124757;0.00389662;
22.3872;-90.1419;-33.1113;179.872;-0.000153698;179.844;-66.2267;-0.127665;0.00408654;
22.9087;-90.1445;-32.9111;179.869;-0.000154708;179.841;-65.8265;-0.130642;0.00428542;
23.4423;-90.1472;-32.7109;179.866;-0.000155765;179.839;-65.4263;-0.133688;0.00449367;
23.9883;-90.15;-32.5107;179.863;-0.000156872;179.836;-65.0261;-0.136805;0.00471175;
24.5471;-90.1529;-32.3105;179.86;-0.000158032;179.834;-64.6258;-0.139996;0.00494011;
25.1189;-90.1558;-32.1102;179.857;-0.000159246;179.831;-64.2256;-0.14326;0.00517923;
25.704;-90.1589;-31.91;179.853;-0.000160518;179.829;-63.8254;-0.146601;0.00542964;
26.3027;-90.162;-31.7097;179.85;-0.000161849;179.826;-63.4251;-0.150021;0.00569185;
26.9153;-90.1652;-31.5094;179.846;-0.000163244;179.823;-63.0248;-0.15352;0.00596643;
27.5423;-90.1685;-31.3092;179.843;-0.000164705;179.82;-62.6245;-0.157101;0.00625396;
28.1838;-90.1718;-31.1089;179.839;-0.000166234;179.817;-62.2242;-0.160766;0.00655505;
28.8403;-90.1753;-30.9085;179.836;-0.000167836;179.814;-61.8239;-0.164516;0.00687034;
29.5121;-90.1789;-30.7082;179.832;-0.000169514;179.81;-61.4236;-0.168354;0.0072005;
30.1995;-90.1825;-30.5079;179.828;-0.000171271;179.807;-61.0232;-0.172283;0.00754624;
30.903;-90.1863;-30.3075;179.824;-0.000173111;179.803;-60.6229;-0.176303;0.00790828;
31.6228;-90.1901;-30.1071;179.82;-0.000175038;179.8;-60.2225;-0.180417;0.0082874;
32.3594;-90.1941;-29.9067;179.815;-0.000177056;179.796;-59.8221;-0.184628;0.00868441;
33.1131;-90.1982;-29.7063;179.811;-0.00017917;179.792;-59.4217;-0.188937;0.00910015;
33.8844;-90.2023;-29.5059;179.807;-0.000181384;179.788;-59.0212;-0.193347;0.0095355;
34.6737;-90.2066;-29.3054;179.802;-0.000183703;179.784;-58.6208;-0.197861;0.00999139;
35.4813;-90.211;-29.1049;179.798;-0.000186131;179.78;-58.2203;-0.202481;0.0104688;
36.3078;-90.2155;-28.9044;179.793;-0.000188675;179.776;-57.8198;-0.207209;0.0109687;
37.1535;-90.2201;-28.7039;179.788;-0.000191339;179.772;-57.4193;-0.212048;0.0114922;
