time;V(/LPF);
0.0141709;-0.14777;
0.0141809;-0.176071;
0.0141909;-0.204251;
0.0142009;-0.232294;
0.0142109;-0.260184;
0.0142209;-0.287906;
0.0142309;-0.315443;
0.0142409;-0.342779;
0.0142509;-0.3699;
0.0142609;-0.39679;
0.0142709;-0.423435;
0.0142809;-0.449818;
0.0142909;-0.475927;
0.0143009;-0.501744;
0.0143109;-0.527258;
0.0143209;-0.552453;
0.0143309;-0.577315;
0.0143409;-0.601831;
0.0143509;-0.625987;
0.0143609;-0.649769;
0.0143709;-0.673165;
0.0143809;-0.696161;
0.0143909;-0.718745;
0.0144009;-0.740904;
0.0144109;-0.762626;
0.0144209;-0.783899;
0.0144309;-0.80471;
0.0144409;-0.825049;
0.0144509;-0.844904;
0.0144609;-0.864263;
0.0144709;-0.883116;
0.0144809;-0.901453;
0.0144909;-0.919262;
0.0145009;-0.936533;
0.0145109;-0.953258;
0.0145209;-0.969425;
0.0145309;-0.985026;
0.0145409;-1.00005;
0.0145509;-1.01449;
0.0145609;-1.02834;
0.0145709;-1.04159;
0.0145809;-1.05423;
0.0145909;-1.06625;
0.0146009;-1.07765;
0.0146109;-1.08842;
0.0146209;-1.09855;
0.0146309;-1.10803;
0.0146409;-1.11687;
0.0146509;-1.12505;
0.0146609;-1.13257;
0.0146709;-1.13942;
0.0146809;-1.1456;
0.0146909;-1.15111;
0.0147009;-1.15594;
0.0147109;-1.16008;
0.0147209;-1.16354;
0.0147309;-1.16631;
0.0147409;-1.16839;
0.0147509;-1.16977;
0.0147609;-1.17046;
0.0147709;-1.17045;
0.0147809;-1.16975;
0.0147909;-1.16834;
0.0148009;-1.16624;
0.0148109;-1.16344;
0.0148209;-1.15994;
0.0148309;-1.15574;
0.0148409;-1.15086;
0.0148509;-1.14527;
0.0148609;-1.139;
0.0148709;-1.13204;
0.0148809;-1.1244;
0.0148909;-1.11607;
0.0149009;-1.10707;
0.0149109;-1.0974;
0.0149209;-1.08706;
0.0149309;-1.07606;
0.0149409;-1.0644;
0.0149509;-1.0521;
0.0149609;-1.03915;
0.0149709;-1.02557;
0.0149809;-1.01135;
0.0149909;-0.996525;
0.015;-0.982518;
