time;V(/BPF);
0.0133248;-0.779498;
0.0133348;-0.796214;
0.0133448;-0.811781;
0.0133548;-0.826176;
0.0133648;-0.83938;
0.0133748;-0.851375;
0.0133848;-0.862145;
0.0133948;-0.871676;
0.0134048;-0.879955;
0.0134148;-0.886971;
0.0134248;-0.892716;
0.0134348;-0.897184;
0.0134448;-0.90037;
0.0134548;-0.90227;
0.0134648;-0.902883;
0.0134748;-0.902211;
0.0134848;-0.900256;
0.0134948;-0.897023;
0.0135048;-0.892517;
0.0135148;-0.886749;
0.0135248;-0.879727;
0.0135348;-0.871464;
0.0135448;-0.861973;
0.0135548;-0.851269;
0.0135648;-0.839371;
0.0135748;-0.826296;
0.0135848;-0.812065;
0.0135948;-0.7967;
0.0136048;-0.780226;
0.0136148;-0.762666;
0.0136248;-0.744048;
0.0136348;-0.724399;
0.0136448;-0.70375;
0.0136548;-0.682131;
0.0136648;-0.659573;
0.0136748;-0.636112;
0.0136848;-0.61178;
0.0136948;-0.586614;
0.0137048;-0.56065;
0.0137148;-0.533926;
0.0137248;-0.506481;
0.0137348;-0.478355;
0.0137448;-0.449587;
0.0137548;-0.420219;
0.0137648;-0.390293;
0.0137748;-0.359851;
0.0137848;-0.328937;
0.0137948;-0.297595;
0.0138048;-0.265868;
0.0138148;-0.233802;
0.0138248;-0.20144;
0.0138348;-0.168829;
0.0138448;-0.136013;
0.0138548;-0.103039;
0.0138648;-0.0699521;
0.0138748;-0.0367978;
0.0138848;-0.00362204;
0.0138948;0.0295297;
0.0139048;0.0626118;
0.0139148;0.0955791;
0.0139248;0.128387;
0.0139348;0.16099;
0.0139448;0.193344;
0.0139548;0.225405;
0.0139648;0.257131;
0.0139748;0.288477;
0.0139848;0.319403;
0.0139948;0.349866;
0.0140048;0.379825;
0.0140148;0.409241;
0.0140248;0.438074;
0.0140348;0.466286;
0.0140448;0.493838;
0.0140548;0.520695;
0.0140648;0.546821;
0.0140748;0.57218;
0.0140848;0.596741;
0.0140948;0.620469;
0.0141048;0.643334;
0.0141148;0.665306;
0.0141248;0.686355;
0.0141348;0.706455;
0.0141448;0.725578;
0.0141548;0.7437;
0.0141648;0.760796;
0.0141748;0.776845;
0.0141848;0.791826;
0.0141948;0.805718;
0.0142048;0.818504;
0.0142148;0.830167;
0.0142248;0.840692;
0.0142348;0.850065;
0.0142448;0.858274;
0.0142548;0.865309;
0.0142648;0.871159;
0.0142748;0.875819;
0.0142848;0.87928;
0.0142948;0.88154;
0.0143048;0.882595;
0.0143148;0.882444;
0.0143248;0.881087;
0.0143348;0.878527;
0.0143448;0.874765;
0.0143548;0.869808;
0.0143648;0.863661;
0.0143748;0.856334;
0.0143848;0.847835;
0.0143948;0.838176;
0.0144048;0.827369;
0.0144148;0.81543;
0.0144248;0.802372;
0.0144348;0.788214;
0.0144448;0.772975;
0.0144548;0.756673;
0.0144648;0.739332;
0.0144748;0.720973;
0.0144848;0.701622;
0.0144948;0.681303;
0.0145048;0.660043;
0.0145148;0.637871;
0.0145248;0.614817;
0.0145348;0.59091;
0.0145448;0.566183;
0.0145548;0.540668;
0.0145648;0.5144;
0.0145748;0.487414;
0.0145848;0.459746;
0.0145948;0.431432;
0.0146048;0.402511;
0.0146148;0.373022;
0.0146248;0.343005;
0.0146348;0.312499;
0.0146448;0.281547;
0.0146548;0.250189;
0.0146648;0.21847;
0.0146748;0.18643;
0.0146848;0.154115;
0.0146948;0.121568;
0.0147048;0.088834;
0.0147148;0.0559571;
0.0147248;0.0229826;
0.0147348;-0.0100441;
0.0147448;-0.0430777;
0.0147548;-0.0760726;
0.0147648;-0.108983;
0.0147748;-0.141764;
0.0147848;-0.17437;
0.0147948;-0.206755;
0.0148048;-0.238875;
0.0148148;-0.270684;
0.0148248;-0.302138;
0.0148348;-0.333193;
0.0148448;-0.363806;
0.0148548;-0.393933;
0.0148648;-0.423532;
0.0148748;-0.45256;
0.0148848;-0.480978;
0.0148948;-0.508744;
0.0149048;-0.535819;
0.0149148;-0.562165;
0.0149248;-0.587743;
0.0149348;-0.612517;
0.0149448;-0.636452;
0.0149548;-0.659512;
0.0149648;-0.681665;
0.0149748;-0.702878;
0.0149848;-0.72312;
0.0149948;-0.742363;
0.015;-0.751879;
